coin,price
Pangea Arbitration Token (Bitnation),$0.00001250
TouchCon,$0.00374662
ZcCoin,$0.00245432
ARBITRAGE,$0.09089028
Sharpay,$0.00016625
bitBTC,"$7,590.08"
Ethorse,$0.00319781
Kind Ads Token,$0.00978087
Block-Logic,$0.01646764
ShareX,$0.00019783
AdHive,$0.00273070
FundFantasy,$0.00853918
Riecoin,$0.00682188
HEAT,$0.00845207
Bitcurrency,$0.00118404
Galactrum,$0.07569581
Bridge Protocol,$0.00141950
CDX Network,$0.00993380
ATMChain,$0.00011804
Trollcoin,$0.00054801
PKG Token,$0.00003280
MyBit Token,$0.00329580
Themis Chain,$0.00078496
Neutron,$0.00761778
